start	end	CRUD_Test
r0 := @this: simple.logic.Logic	$r1 = r0.<simple.logic.Logic: java.util.List data>	0
$r1 = r0.<simple.logic.Logic: java.util.List data>	interfaceinvoke $r1.<java.util.List: java.lang.Object remove(int)>(0)	1
interfaceinvoke $r1.<java.util.List: java.lang.Object remove(int)>(0)	$r3 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	0
$r3 = r0.<simple.logic.Logic: java.util.logging.Logger logger>	$r4 = <java.util.logging.Level: java.util.logging.Level INFO>	1
$r4 = <java.util.logging.Level: java.util.logging.Level INFO>	virtualinvoke $r3.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r4, "Success to delete list data.")	1
virtualinvoke $r3.<java.util.logging.Logger: void log(java.util.logging.Level,java.lang.String)>($r4, "Success to delete list data.")	$r5 = r0.<simple.logic.Logic: java.lang.String code>	0
$r5 = r0.<simple.logic.Logic: java.lang.String code>	return $r5	1
