Node	CRUD	DataFlowValue
specialinvoke $r54.<java.io.File: void <init>(java.io.File,java.lang.String)>($r55, $r59)	R	$r54
$r18 = new java.lang.StringBuilder	C	$r18
$r72 = virtualinvoke $r71.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r72
$r20 = virtualinvoke $r19.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	$r20
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r27
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r72, r68)	R	$r0
if $z2 == 0 goto (branch)	R	none
specialinvoke $r28.<java.lang.StringBuilder: void <init>(java.lang.String)>("install: Installing web application from \'")	R	$r28
$r42[0] = $r43	U	$r42[0]
if $z5 != 0 goto $r45 = new java.io.File	R	$r45
$r62 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	$r62
$i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	$i2
$r48 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r7)	U	$r48
z0 := @parameter4: boolean	R	z0
specialinvoke $r65.<java.io.File: void <init>(java.lang.String)>(r4)	R	$r65
$r53 = new java.io.File	C	$r53
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r6)	R	$r0
$r28 = new java.lang.StringBuilder	C	$r28
$r32 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	$r32
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String)>($r21)	R	$r0
$r74 = virtualinvoke r68.<java.lang.Throwable: java.lang.String toString()>()	U	$r74
r60 = $r54	U	r60
if $i3 <= 0 goto (branch)	R	none
r7 = virtualinvoke r3.<org.apache.catalina.util.ContextName: java.lang.String getBaseName()>()	U	r7
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r52)	R	$r1
$r24 = virtualinvoke $r23.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\' from \'")	U	$r24
$r55 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	$r55
