Node	CRUD	DataFlowValue
specialinvoke $r36.<java.io.File: void <init>(java.io.File,java.lang.String)>($r37, $r41)	R	$r36
$r24 = newarray (java.lang.Object)[1]	C	$r24
r7 = (org.apache.catalina.Context) $r17	U	r7
$r38 = new java.lang.StringBuilder	C	$r38
if $z0 != 0 goto r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	R	$r4
$r54 = virtualinvoke $r53.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r6)	U	$r54
$r46[0] = r10	U	$r46[0]
$r43 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r42)	U	$r43
if $z6 != 0 goto $z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	R	$r10
if $z3 == 0 goto $z5 = virtualinvoke r9.<java.io.File: boolean exists()>()	R	$r9
$r56 = virtualinvoke $r55.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r56
$r55 = virtualinvoke $r54.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("]")	U	$r55
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	R	$r0
$r40 = virtualinvoke $r38.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(".xml")	U	$r40
$r44[0] = r9	U	$r44[0]
r8 = $r26	U	r8
if $z5 == 0 goto $z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	R	$r10
$r14 = virtualinvoke $r13.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	$r14
$r17 = interfaceinvoke $r16.<org.apache.catalina.Host: org.apache.catalina.Container findChild(java.lang.String)>(r4)	U	$r17
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r43)	R	$r1
if r7 != null goto $z1 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isDeployed(java.lang.String)>(r4)	R	$r7
$z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	U	$z0
$r59 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r57)	U	$r59
$r37 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File configBase>	U	$r37
$r30 = staticinvoke <java.lang.String: java.lang.String valueOf(java.lang.Object)>(r5)	U	$r30
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r50)	R	$r1
r4 = virtualinvoke r2.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	U	r4
$r35 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	$r35
r52 = $r51	U	r52
$r21[0] = $r22	U	$r21[0]
specialinvoke $r27.<java.io.File: void <init>(java.io.File,java.lang.String)>($r28, $r32)	R	$r27
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	R	$r0
if $z8 != 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	R	$r0
$z6 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean undeployDir(java.io.File)>(r9)	U	$z6
$r28 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	$r28
$r20 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r18)	U	$r20
goto [?= virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)]	R	null
$r45 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r44)	U	$r45
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r23)	R	$r1
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r15
