Node	CRUD	DataFlowValue 	path0
r0 := @this: org.apache.catalina.manager.ManagerServlet	R	r0	1
$i0 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	U	$i0	1
$r8 = virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	U	$r8	1
r5 = (org.apache.catalina.Context) $r12	U	r5	1	1
$r27 = virtualinvoke $r26.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
$r9 = virtualinvoke $r8.<java.lang.StringBuilder: java.lang.String toString()>()	U	$r9	1
$r13[0] = $r14	U	$r13[0]	1	1
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void log(java.lang.String,java.lang.Throwable)>($r27, r23)	R	$r0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
$r28[0] = $r29	U	$r28[0]	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
$r6 = new java.lang.StringBuilder	C	$r6	1
r1 := @parameter0: java.io.PrintWriter	R	r1	1
r23 = $r22	U	r23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r15)	R	$r1	1	1
$r10 = r0.<org.apache.catalina.manager.ManagerServlet: org.apache.catalina.Host host>	U	$r10	1	1
$r30 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r28)	U	$r30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
$r28 = newarray (java.lang.Object)[1]	C	$r28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r19)	R	$r1	1	1
$r29 = virtualinvoke r23.<java.lang.Throwable: java.lang.String toString()>()	U	$r29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
$r14 = staticinvoke <org.apache.catalina.util.RequestUtil: java.lang.String filter(java.lang.String)>(r4)	U	$r14	1	1
if $i0 < 1 goto $z0 = staticinvoke <org.apache.catalina.manager.ManagerServlet: boolean validateContextName(org.apache.catalina.util.ContextName,java.io.PrintWriter,org.apache.tomcat.util.res.StringManager)>(r2, r1, r3)	R	$r2	1
r2 := @parameter1: org.apache.catalina.util.ContextName	R	r2	1
$r25 = virtualinvoke $r24.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	U	$r25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
if r5 != null goto $r16 = interfaceinvoke r5.<org.apache.catalina.Context: java.lang.String getName()>()	R	$r5	1	1
