start	end	CRUD_Test
r0 := @parameter0: java.lang.String[]	$r1 = new sample.functionA.MethodsA	0
$r1 = new sample.functionA.MethodsA	specialinvoke $r1.<sample.functionA.MethodsA: void <init>()>()	1
specialinvoke $r1.<sample.functionA.MethodsA: void <init>()>()	r2 = $r1	0
r2 = $r1	virtualinvoke r2.<sample.functionA.MethodsA: int method01(int,int)>(1, 20)	1
r2 = $r1	$r4 := @caughtexception	1
virtualinvoke r2.<sample.functionA.MethodsA: int method01(int,int)>(1, 20)	goto [?= return]	0
virtualinvoke r2.<sample.functionA.MethodsA: int method01(int,int)>(1, 20)	$r4 := @caughtexception	0
goto [?= return]	return	0
$r4 := @caughtexception	r3 = $r4	0
r3 = $r4	virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	1
virtualinvoke r3.<java.lang.Exception: void printStackTrace()>()	return	0
