Node	CRUD	DataFlowValue
$z12 = staticinvoke <org.apache.catalina.startup.ExpandWar: boolean delete(java.io.File)>(r60)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $z10, r60, $z11]	null
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r4)	[r0, r1, r2, r3, r4, z0, r5, $i2, $i3, $r12, $r13, $r14]	null
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r44)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r41, $z6, $r42, $r43, $r44]	null
goto [?= virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r6)]	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4]	null
r11 = $r66	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r66]	null
$r73 = newarray (java.lang.Object)[1]	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $r67, r68, $r69, $r70, $r71, $r72]	null
if $i3 <= 0 goto (branch)	[r0, r1, r2, r3, r4, z0, r5, $i2, $i3]	null
r2 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int)>($i4)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z2, $r36, $i4]	null
specialinvoke $r65.<java.io.File: void <init>(java.lang.String)>(r4)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $z10, r60, $z11, $r65]	null
$r44 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.mkdirFail", $r42)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r41, $z6, $r42, $r43]	null
$r35 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.alreadyContext", $r34)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $r34]	null
$r42[0] = $r43	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r41, $z6, $r42, $r43]	null
$i0 = virtualinvoke r2.<java.lang.String: int length()>()	[r0, r1, r2, r3, r4, z0, r5]	null
r5 := @parameter5: org.apache.tomcat.util.res.StringManager	[r0, r1, r2, r3, r4, z0]	null
$r75 = virtualinvoke r5.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.exception", $r73)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $r67, r68, $r69, $r70, $r71, $r72, $r73, $r74]	null
if r9 == null goto (branch)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9]	null
r4 = virtualinvoke r4.<java.lang.String: java.lang.String substring(int)>($i5)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z3, $r37, $i5]	null
$z10 = virtualinvoke r4.<java.lang.String: boolean endsWith(java.lang.String)>(".war")	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4]	null
r4 = null	[r0, r1, r2, r3, r4, z0, r5, $i1]	null
if r4 == null goto $z4 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean isServiced(java.lang.String)>(r6)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9]	null
$z7 = virtualinvoke r10.<java.io.File: boolean isFile()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45, $r46, $r47, $r48, $r49, $r50, r10]	null
r7 = virtualinvoke r3.<org.apache.catalina.util.ContextName: java.lang.String getBaseName()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6]	null
$r38 = newarray (java.lang.Object)[1]	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4]	null
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r6)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4]	null
$i4 = virtualinvoke $r36.<java.lang.String: int length()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z2, $r36]	null
if r4 == null goto $i2 = r0.<org.apache.catalina.manager.ManagerServlet: int debug>	[r0, r1, r2, r3, r4, z0, r5]	null
$r34 = newarray (java.lang.Object)[1]	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9]	null
if r2 == null goto (branch)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4]	null
if $z1 != 0 goto r6 = virtualinvoke r3.<org.apache.catalina.util.ContextName: java.lang.String getName()>()	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1]	null
r10 = $r45	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45, $r46, $r47, $r48, $r49, $r50]	null
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r39)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r38, $r39]	null
if $z6 != 0 goto $r45 = new java.io.File	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r41, $z6]	null
specialinvoke $r45.<java.io.File: void <init>(java.io.File,java.lang.String)>($r46, $r50)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45, $r46, $r47, $r48, $r49, $r50]	null
specialinvoke $r53.<java.io.File: void <init>(java.lang.String)>(r2)	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45, $r46, $r47, $r48, $r49, $r50, r10, $z7, $r53]	null
return	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9]	null
$r55 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $z10, $r54]	null
if $z8 != 0 goto $r53 = new java.io.File	[r0, r1, r2, r3, r4, z0, r5, $i2, $z1, r6, r7, r8, $r32, $r33, r9, $z4, $r40, $z5, $r45, $r46, $r47, $r48, $r49, $r50, r10, $z7, $z8]	null
